Date,Person,Count,Denomination,Currency,Note
2018-01-27,Zach,1,0.01,USD,
2018-01-28,Zach,1,0.01,USD,
2018-01-29,Zach,1,0.01,USD,
2018-02-04,Zach,1,0.01,USD,
2018-02-08,Zach,1,0.01,USD,
2018-02-08,Zach,1,0.01,USD,
2018-02-12,Dad,1,0.01,USD,
2018-02-13,Zach,2,0.01,USD,
2018-02-22,Zach,1,0.01,USD,
2018-02-28,Zach,1,0.01,USD,
2018-03-03,Zach,1,0.01,USD,
2018-03-03,Dad,1,0.01,USD,
2018-03-03,Dad,1,0.05,USD,
2018-03-03,Zach,1,0.01,USD,
2018-03-05,Zach,1,0.01,USD,
2018-03-06,Zach,1,0.25,USD,
2018-03-06,Zach,1,0.01,USD,
2018-03-08,Zach,1,0.01,USD,
2018-03-15,Zach,1,0.01,USD,
2018-03-18,Zach,1,0.01,USD,
2018-03-20,Zach,1,0.10,USD,
2018-03-24,Zach,1,0.10,USD,
2018-03-25,Zach,1,0.01,USD,
2018-03-30,Zach,1,0.01,USD,
2018-03-30,Noah,1,0.01,USD,
2018-04-01,Zach,1,0.01,USD,
2018-04-04,Dad,1,0.01,USD,
2018-04-13,Zach,1,0.01,USD,
2018-04-14,Zach,1,0.25,USD,
2018-04-16,Zach,1,0.01,USD,
2018-04-16,Zach,1,0.10,USD,
2018-04-16,Zach,1,0.01,USD,
2018-04-17,Dad,1,0.01,USD,
2018-04-19,Zach,1,0.01,USD,
2018-04-22,Zach,1,0.01,USD,
2018-04-23,Dad,1,0.01,USD,
2018-04-27,Zach,1,0.01,USD,
2018-04-28,Dad,1,0.01,USD,
2018-05-01,Dad,1,0.01,USD,
2018-05-01,Zach,7,0.01,USD,
2018-05-02,Zach,1,0.01,USD,
2018-05-03,Zach,1,0.01,USD,
2018-05-05,Zach,2,0.01,USD,
2018-05-07,Dad,1,0.01,USD,
2018-05-08,Zach,1,0.01,USD,
2018-05-08,Zach,1,0.01,USD,
2018-05-13,Zach,1,0.25,USD,
2018-05-14,Zach,1,0.01,USD,
2018-05-19,Zach,1,0.01,USD,
2018-05-21,Zach,1,0.01,USD,
2018-05-21,Zach,1,0.10,USD,
2018-05-21,Zach,1,0.01,USD,
2018-05-24,Zach,1,0.01,USD,
2018-05-25,Zach,1,0.01,USD,
2018-05-27,Zach,1,0.01,USD,
2018-05-29,Dad,1,0.01,USD,
2018-05-31,Zach,1,0.10,USD,
2018-06-01,Mom,1,0.01,USD,
2018-06-01,Dad,1,0.01,USD,
2018-06-08,Zach,1,0.25,USD,
2018-06-09,Dad,1,0.10,USD,
2018-06-10,Zach,1,0.10,USD,
2018-06-14,Dad,1,0.01,USD,
2018-06-21,Dad,1,0.05,USD,
2018-06-22,Zach,1,0.01,GBP,
2018-06-27,Zach,1,0.01,GBP,
2018-06-30,Dad,1,0.10,USD,
2018-07-03,Zach,1,0.01,USD,
2018-07-03,Zach,1,0.01,USD,
2018-07-06,Zach,1,0.25,USD,
2018-07-11,Dad,1,0.01,USD,
2018-07-11,Zach,1,0.01,USD,
2018-07-17,Zach,1,0.01,USD,
2018-07-23,Zach,1,0.01,USD,
2018-07-26,Zach,1,0.01,USD,
2018-07-28,Zach,1,0.01,USD,
2018-08-05,Zach,1,0.01,USD,
2018-08-06,Zach,1,0.01,USD,
2018-08-07,Zach,1,0.01,USD,
2018-08-10,Mom,3,0.10,USD,"Not labelled, guessing"
2018-08-10,Mom,2,0.01,USD,
2018-08-16,Noah,1,0.01,USD,
2018-08-18,Zach,1,0.01,USD,
2018-08-20,Zach,1,0.01,USD,
2018-08-21,Noah,2,0.01,USD,
2018-08-21,Zach,1,0.01,USD,
2018-08-22,Noah,1,0.01,USD,
2018-08-22,Zach,1,0.01,USD,
2018-08-24,Zach,1,0.01,USD,
2018-08-29,Zach,1,0.01,USD,
2018-08-29,Mom,1,0.01,USD,
2018-08-30,Zach,1,0.10,USD,
2018-09-02,Dad,1,0.01,USD,
2018-09-11,Dad,1,0.01,USD,
2018-09-13,Zach,1,0.01,USD,
2018-09-15,Zach,1,0.01,USD,
2018-09-16,Zach,1,0.01,USD,
2018-09-17,Zach,1,0.25,USD,
2018-09-22,Zach,1,0.01,USD,
2018-09-22,Zach,1,0.10,USD,
2018-09-23,Zach,1,0.01,USD,
2018-09-27,Zach,1,0.01,USD,
2018-09-27,Dad,1,0.10,USD,
2018-09-28,Zach,1,0.01,USD,
2018-09-30,Dad,1,0.01,USD,
2018-10-04,Zach,1,0.01,USD,
2018-10-05,Zach,1,0.01,USD,
2018-10-10,Zach,1,0.01,USD,
2018-10-13,Zach,1,0.10,USD,
2018-10-14,Mom,1,0.01,USD,
2018-10-15,Zach,1,0.01,USD,
2018-10-16,Zach,1,0.01,USD,
2018-10-17,Noah,1,0.01,USD,
2018-10-20,Dad,1,0.01,USD,
2018-10-23,Zach,1,0.01,USD,
2018-10-24,Zach,1,20.00,USD,
2018-11-03,Zach,1,0.01,USD,
2018-11-06,Zach,1,0.10,USD,
2018-11-07,Dad,1,0.10,USD,
2018-11-09,Zach,1,0.10,USD,
2018-11-09,Zach,1,0.01,USD,
2018-11-09,Zach,1,0.05,USD,
2018-11-10,Zach,1,0.10,USD,
2018-11-13,Zach,1,0.01,USD,
2018-11-16,Dad,1,0.10,USD,
2018-11-17,Zach,1,0.01,USD,
2018-11-17,Zach,1,0.01,USD,
2018-11-17,Zach,1,0.25,USD,
2018-11-18,Zach,1,0.05,USD,
2018-11-25,Zach,1,0.01,USD,
2018-11-28,Zach,1,0.05,USD,
2018-11-28,Zach,1,0.01,USD,
2018-11-28,Zach,1,0.10,USD,
2018-11-29,Zach,1,0.10,USD,
2018-11-30,Zach,1,0.05,USD,
2018-12-03,Zach,1,0.10,USD,
2018-12-04,Zach,1,0.01,USD,
2018-12-07,Dad,1,0.25,USD,
2018-12-08,Zach,1,0.01,USD,
2018-12-11,Dad,1,0.01,USD,
2018-12-11,Zach,1,0.10,USD,
2018-12-13,Zach,1,0.10,USD,
2018-12-14,Zach,1,0.10,USD,
2018-12-15,Zach,1,0.01,USD,
2018-12-15,Zach,1,0.01,USD,
2018-12-20,Zach,8,0.01,USD,
2018-12-26,Zach,1,0.01,USD,
2018-12-26,Zach,1,0.10,USD,
2018-12-30,Zach,1,0.01,USD,
2018-12-30,Zach,1,0.05,USD,
2018-12-30,Zach,1,0.01,USD,
2019-01-03,Zach,1,0.01,USD,
2019-01-04,Zach,1,0.01,USD,
2019-01-07,Zach,1,0.25,USD,
2019-01-08,Dad,1,0.01,USD,
2019-01-08,Zach,1,0.25,USD,
2019-01-08,Zach,1,0.01,USD,
2019-01-08,Zach,1,0.01,USD,
2019-01-11,Zach,1,0.01,USD,
2019-01-12,Zach,1,0.01,USD,
2019-01-12,Zach,1,0.25,USD,
2019-01-17,Dad,1,0.01,USD,
2019-01-19,Zach,1,0.10,USD,
2019-01-25,Zach,3,0.01,USD,
2019-01-26,Zach,1,0.01,USD,
2019-01-26,Zach,1,0.01,USD,
2019-01-26,Dad,1,0.01,USD,
2019-01-27,Zach,1,0.01,USD,
2019-01-28,Noah,1,0.01,USD,
2019-02-01,Zach,1,0.01,USD,
2019-02-01,Zach,1,0.01,USD,
2019-02-08,Zach,1,0.10,USD,
2019-02-09,Zach,1,0.01,USD,
2019-02-17,Zach,1,0.01,USD,
2019-02-18,Zach,1,0.01,USD,
2019-02-18,Zach,2,0.10,USD,
2019-02-18,Zach,1,0.10,USD,
2019-02-19,Zach,1,0.25,USD,
2019-02-19,Zach,3,0.01,USD,
2019-02-22,Zach,1,0.01,USD,
2019-02-22,Zach,1,0.01,USD,
2019-02-23,Zach,1,0.10,USD,
2019-02-23,Zach,1,0.05,USD,
2019-02-23,Dad,1,0.10,NZD,
2019-02-24,Zach,1,0.01,USD,
2019-02-24,Zach,1,0.01,USD,
2019-02-24,Zach,1,0.01,USD,
2019-02-26,Zach,4,0.01,USD,
2019-02-26,Zach,4,0.01,USD,
2019-02-26,Zach,1,0.10,EUR,
2019-02-26,Zach,1,0.01,USD,
2019-02-28,Zach,1,0.01,USD,
2019-02-28,Zach,1,0.05,USD,
2019-02-28,Zach,1,0.01,USD,
2019-03-03,Zach,1,0.05,USD,Discolored
2019-03-03,Dad,1,0.10,USD,
2019-03-04,Zach,1,0.01,USD,
2019-03-05,Zach,1,0.01,USD,
2019-03-07,Mom,1,0.01,USD,
2019-03-09,Zach,1,0.01,USD,
2019-03-09,Zach,1,0.10,USD,
2019-03-10,Zach,1,0.01,USD,
2019-03-11,Zach,1,0.01,USD,
2019-03-14,Zach,1,0.01,USD,
2019-03-15,Zach,1,0.25,TRY,
2019-03-15,Zach,1,0.01,USD,
2019-03-15,Zach,1,0.01,USD,
2019-03-19,Zach,1,0.01,USD,
2019-03-19,Noah,4,0.01,USD,
2019-03-20,Zach,1,0.05,USD,
